name,salary_from,salary_to,salary_currency,area_name,published_at
Специалист технической поддержки,35000,50000,RUR,Уссурийск,2022-12-21T05:41:14+0300
Оператор термопластавтоматов и экструзионных линий,55000,90000,RUR,Красноярск,2022-12-21T07:54:06+0300
Токарь-универсал,50000,,RUR,Ростов-на-Дону,2022-12-21T09:54:09+0300
Электромеханик,80000,118000,RUR,Москва,2022-12-21T09:16:37+0300
Проектный менеджер,100000,,RUR,Вологда,2022-12-21T08:10:20+0300
HR аналитик,60000,70000,RUR,Хабаровск,2022-12-21T06:00:50+0300
Сервисный инженер,60000,,RUR,Москва,2022-12-21T00:09:47+0300
Монтажник слаботочных систем,80000,,RUR,Санкт-Петербург,2022-12-21T09:50:19+0300
Электромеханик,200000,,KZT,Астана,2022-12-21T08:04:34+0300
Рабочий на производстве,800,1800,BYR,Минск,2022-12-21T09:37:55+0300
Редактор художественной литературы,60000,,RUR,Москва,2022-12-21T09:06:45+0300
Аналитик,200000,200000,KZT,Алматы,2022-12-21T08:27:03+0300
Токарь-универсал,110000,130000,RUR,Нижний Новгород,2022-12-21T09:59:16+0300
Программист С++ (удаленное сотрудничество),200000,250000,RUR,Нижний Новгород,2022-12-21T00:03:08+0300
Проектный менеджер,100000,,RUR,Санкт-Петербург,2022-12-21T08:10:20+0300
Проектный менеджер,100000,,RUR,Белгород,2022-12-21T08:10:20+0300
Разработчик 1С,130000,,RUR,Москва,2022-12-21T09:43:36+0300
Аналитик данных (Middle+),120000,180000,RUR,Новосибирск,2022-12-21T06:41:02+0300
Начинающий специалист по обслуживанию POS-терминального оборудования,50000,,RUR,Комсомольск-на-Амуре,2022-12-21T04:42:42+0300
Младший аналитик данных,35000,45000,RUR,Ижевск,2022-12-21T09:28:16+0300
Инженер по сборке платежных терминалов,55000,70000,RUR,Москва,2022-12-21T09:41:21+0300
Системный администратор,80000,,RUR,Кемерово,2022-12-21T05:11:27+0300
Junior+ Backend Разработчик,100000,,RUR,Москва,2022-12-21T09:36:23+0300
Ассистент проектного менеджера,40000,70000,RUR,Челябинск,2022-12-21T03:12:57+0300
Сервисный инженер,120000,,RUR,Мурманск,2022-12-21T09:15:11+0300
Frontend-разработчик (middle),120000,,RUR,Владивосток,2022-12-21T09:41:11+0300
Оператор ЧПУ по распиловке,50000,80000,RUR,Омск,2022-12-21T07:24:23+0300
Сервисный инженер по робототехнике,85000,125000,RUR,Санкт-Петербург,2022-12-21T09:11:33+0300
Системный администратор,45000,,RUR,Пермь,2022-12-21T09:08:03+0300
Графический дизайнер,36700,36700,RUR,Уфа,2022-12-21T09:09:08+0300
Арт-менеджер,30000,,RUR,Новороссийск,2022-12-21T09:14:27+0300
Программист-разработчик (FRONT MIDDLE),150000,,RUR,Москва,2022-12-21T09:50:09+0300
Сервисный инженер / Компьютерный мастер,,250000,RUR,Москва,2022-12-21T08:19:17+0300
Специалист по информационной безопасности,50000,50000,RUR,Новосибирск,2022-12-21T06:05:15+0300
Слесарь по сборке узлов и агрегатов,1100,,BYR,Могилев,2022-12-21T09:59:03+0300
Начальник отдела сопровождения информационных систем,90000,90000,RUR,Новосибирск,2022-12-21T05:16:12+0300
Технический специалист,40000,50000,RUR,Екатеринбург,2022-12-21T09:41:23+0300
Специалист по обучению/методист,40000,,RUR,Уфа,2022-12-21T08:40:56+0300
Web-программист,80000,,RUR,Старый Оскол,2022-12-21T08:59:01+0300
Дизайнер,,300000,KZT,Астана,2022-12-21T08:39:56+0300
Графический дизайнер,250000,,KZT,Алматы,2022-12-21T09:57:24+0300
Специалист технической поддержки,32000,,RUR,Пенза,2022-12-21T09:58:30+0300
Проектный менеджер,100000,,RUR,Воронеж,2022-12-21T08:10:20+0300
Программист-разработчик (back senior),175000,,RUR,Москва,2022-12-21T09:45:02+0300
Инженер отдела мониторинга (технической поддержки L1),1700,,BYR,Минск,2022-12-21T09:02:04+0300
Стажер-программист 1С,60000,100000,RUR,Самара,2022-12-21T08:12:15+0300
Руководитель проектов,150000,,RUR,Новосибирск,2022-12-21T06:42:27+0300
Руководитель проекта / менеджер проектного офиса,60000,,RUR,Пермь,2022-12-21T08:06:06+0300
Сварщик / оператор станка,60000,,RUR,Краснодар,2022-12-21T08:27:04+0300
Ведущий специалист отдела главного механика,53000,59000,RUR,Красноярск,2022-12-21T05:46:46+0300
Системный администратор,25000,,RUR,Каменск-Шахтинский,2022-12-21T08:44:59+0300
Инженер QA (Тестировщик),90000,,RUR,Челябинск,2022-12-21T08:14:03+0300
Дизайнер-верстальщик,60000,,RUR,Подольск (Московская область),2022-12-21T09:02:40+0300
Техник,75000,80000,RUR,Санкт-Петербург,2022-12-21T09:05:35+0300
Проектный менеджер,100000,,RUR,Великий Новгород,2022-12-21T08:10:20+0300
"Мастер (инженер/электронщик/электроник) по ремонту радио аппаратуры, электроники, телевизоров, РЭА",75000,75000,RUR,Санкт-Петербург,2022-12-21T07:32:40+0300
Специалист службы технической поддержки,58500,,RUR,Серпухов,2022-12-21T09:20:31+0300
Инженер-механик (ОСУ и АСУ ТП),240000,240000,RUR,Новосибирск,2022-12-21T03:07:41+0300
Техник-электрик (World class г. Ангарск),,42000,RUR,Ангарск,2022-12-21T06:49:01+0300
Инженер по автоматизированным системам управления производством,48500,48500,RUR,Псков,2022-12-21T08:20:52+0300
Специалист по изучению поисковой выдачи в Яндекс,,65000,RUR,Санкт-Петербург,2022-12-21T08:34:42+0300
Middle Python разработчик,100000,200000,RUR,Москва,2022-12-21T08:24:49+0300
Консультант службы технической поддержки клиентов iiko (2 линия),70000,,RUR,Санкт-Петербург,2022-12-21T08:51:45+0300
Руководитель проектов,80000,,RUR,Краснодар,2022-12-21T06:56:38+0300
Инженер-программист,46200,,RUR,Новороссийск,2022-12-21T08:36:44+0300
Моушн дизайнер/3D дженералист,90000,150000,RUR,Москва,2022-12-21T08:07:06+0300
Оператор производственной линии,200000,240000,KZT,Караганда,2022-12-21T07:35:54+0300
Специалист по информационной безопасности (специалист-эксперт),31000,44000,RUR,Иркутск,2022-12-21T06:13:24+0300
Начальник отдела информационной безопасности,,130000,RUR,Владивосток,2022-12-21T06:09:13+0300
Системный администратор,40000,,RUR,Томск,2022-12-21T07:51:58+0300
Руководитель проектов (разработка),1500,,USD,Ташкент,2022-12-21T09:50:21+0300
Системный администратор,45000,,RUR,Пермь,2022-12-21T07:01:12+0300
Дизайнер / Графический дизайнер,150000,300000,KZT,Караганда,2022-12-21T08:12:32+0300
Специалист технической поддержки,70000,,RUR,Москва,2022-12-21T09:30:39+0300
Специалист по IT,32000,50000,RUR,Казань,2022-12-21T09:11:41+0300
Токарь-универсал,50000,,RUR,Самара,2022-12-21T08:23:41+0300
Младший системный администратор,58000,,RUR,Москва,2022-12-21T09:26:03+0300
Младший аналитик данных,35000,45000,RUR,Нижний Новгород,2022-12-21T09:28:16+0300
Технический специалист,500000,,KZT,Костанай,2022-12-21T09:59:14+0300
Менеджер по проектам,100000,400000,RUR,Москва,2022-12-21T09:46:37+0300
Программист-разработчик (Full-stack JavaScript разработчик),150000,,RUR,Москва,2022-12-21T00:20:37+0300
Системный аналитик (Бизнес-аналитик),150000,,RUR,Москва,2022-12-21T09:29:23+0300
Графический дизайнер,5000000,8000000,UZS,Ташкент,2022-12-21T07:35:11+0300
Помощник механика на станок (производство),230000,250000,KZT,Алматы,2022-12-21T07:21:57+0300
Backend разработчик,3500,5500,USD,Москва,2022-12-21T08:59:17+0300
Cпециалист техподдержки,45000,45000,RUR,Новосибирск,2022-12-21T08:07:08+0300
Оператор листогибочного станка с ЧПУ,40000,,RUR,Уфа,2022-12-21T07:14:31+0300
Разработчик PHP Laravel,250000,,RUR,Москва,2022-12-21T09:12:55+0300
Графический дизайнер,6000000,8000000,UZS,Самарканд,2022-12-21T08:12:00+0300
IOS разработчик,80000,140000,RUR,Омск,2022-12-21T08:45:30+0300
Товарный аналитик,100000,,RUR,Москва,2022-12-21T09:10:55+0300
SQL программист,60000,,RUR,Саратов,2022-12-21T08:37:23+0300
Младший специалист техподдержки,30000,54000,RUR,Москва,2022-12-21T09:23:21+0300
Сервисный инженер,120000,,RUR,Новосибирск,2022-12-21T08:26:41+0300
Системный администратор,70000,80000,RUR,Ростов-на-Дону,2022-12-21T09:08:31+0300
Специалист по технической поддержке,,75600,RUR,Одинцово,2022-12-21T09:19:02+0300
Дизайнер в рекламно-производственную компанию,45000,,RUR,Ростов-на-Дону,2022-12-21T08:54:38+0300
Специалист технической поддержки,35000,45000,RUR,Челябинск,2022-12-21T05:54:03+0300
